model,strategy,best_cv_f1,precision,recall,f1,threshold,caught,missed,train_time
Random Forest,Baseline,0.9085,0.9773,0.8776,0.9247,0.65,86,12,25.87
Random Forest,SMOTE,0.9973,0.9884,0.8673,0.9239,0.8,85,13,53.0
Random Forest,SMOTE+Tomek,0.9973,0.9884,0.8673,0.9239,0.8,85,13,53.55
Random Forest,ADASYN,0.9981,0.956,0.8878,0.9206,0.7,87,11,69.02
XGBoost,Baseline,0.9062,0.9663,0.8776,0.9198,0.9,86,12,1.55
SVM,Baseline,0.8798,0.9882,0.8571,0.918,0.1,84,14,0.21
XGBoost,SMOTE,0.9981,0.9255,0.8878,0.9062,0.9,87,11,3.03
XGBoost,SMOTE+Tomek,0.9981,0.9255,0.8878,0.9062,0.9,87,11,2.9
SVM,ADASYN,0.8886,0.9231,0.8571,0.8889,0.9,84,14,0.33
XGBoost,ADASYN,0.9976,0.8854,0.8673,0.8763,0.9,85,13,3.04
SVM,SMOTE,0.9444,0.8687,0.8776,0.8731,0.9,86,12,0.2
SVM,SMOTE+Tomek,0.9444,0.8687,0.8776,0.8731,0.9,86,12,0.21
